"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 06 13:23:21 WAT 2022","Tue Dec 06 13:23:25 WAT 2022","4371","All Test Suite","C:/TestifySelenium/Projects/ProjectKonga","KongaLoginTest","KongaLoginTest","negativeLoginEmptyFields","negativeLoginEmptyFields",""
"passed","Tue Dec 06 13:23:39 WAT 2022","Tue Dec 06 13:23:42 WAT 2022","3090","All Test Suite","C:/TestifySelenium/Projects/ProjectKonga","KongaLoginTest","KongaLoginTest","searchItem","searchItem",""
"passed","Tue Dec 06 13:23:12 WAT 2022","Tue Dec 06 13:23:16 WAT 2022","3962","All Test Suite","C:/TestifySelenium/Projects/ProjectKonga","KongaLoginTest","KongaLoginTest","negativeLoginInvalidPassword","negativeLoginInvalidPassword",""
"passed","Tue Dec 06 13:23:25 WAT 2022","Tue Dec 06 13:23:32 WAT 2022","7260","All Test Suite","C:/TestifySelenium/Projects/ProjectKonga","KongaLoginTest","KongaLoginTest","positiveLogin","positiveLogin",""
"passed","Tue Dec 06 13:23:00 WAT 2022","Tue Dec 06 13:23:08 WAT 2022","7525","All Test Suite","C:/TestifySelenium/Projects/ProjectKonga","KongaLoginTest","KongaLoginTest","loginButton","loginButton",""
"passed","Tue Dec 06 13:23:08 WAT 2022","Tue Dec 06 13:23:12 WAT 2022","4605","All Test Suite","C:/TestifySelenium/Projects/ProjectKonga","KongaLoginTest","KongaLoginTest","negativeSigninInvalidEmail","negativeSigninInvalidEmail",""
"passed","Tue Dec 06 13:22:56 WAT 2022","Tue Dec 06 13:23:00 WAT 2022","4180","All Test Suite","C:/TestifySelenium/Projects/ProjectKonga","KongaLoginTest","KongaLoginTest","getPageTitle","getPageTitle",""
"passed","Tue Dec 06 13:23:16 WAT 2022","Tue Dec 06 13:23:21 WAT 2022","4540","All Test Suite","C:/TestifySelenium/Projects/ProjectKonga","KongaLoginTest","KongaLoginTest","negativeLoginEmptyField","negativeLoginEmptyField",""
"passed","Tue Dec 06 13:23:33 WAT 2022","Tue Dec 06 13:23:36 WAT 2022","3462","All Test Suite","C:/TestifySelenium/Projects/ProjectKonga","KongaLoginTest","KongaLoginTest","searchElement","searchElement",""
"passed","Tue Dec 06 13:23:42 WAT 2022","Tue Dec 06 13:23:47 WAT 2022","5127","All Test Suite","C:/TestifySelenium/Projects/ProjectKonga","KongaLoginTest","KongaLoginTest","logoutSuccessfully","logoutSuccessfully",""
"passed","Tue Dec 06 13:23:36 WAT 2022","Tue Dec 06 13:23:39 WAT 2022","3148","All Test Suite","C:/TestifySelenium/Projects/ProjectKonga","KongaLoginTest","KongaLoginTest","searchTitle","searchTitle",""
